match_id,game_time,player_name,team_tag,mech,round,game,map,validation_status,notes
29001390907328,2026-02-22 02:12:00,NubyaTheRealtor,1Cal,JVN-11F,1,1,Polar Highlands,validated,validation_row=1; matches2_side=team_b; teammate_overlap=6/6; matches2_map=PolarHighlands | roster=Division G / Benups - NA | stats_match_found
29237614109941,2026-02-22 02:24:00,NubyaTheRealtor,1Cal,BSK-6CS,1,2,Hibernal Rift,ambiguous,validation=ambiguous; row 11 team_b overlap=6 map=HibernalRift; row 12 team_a overlap=6 map=HibernalRift | roster=Division G / Benups - NA | stats_match_found
29164599665329,2026-02-22 02:36:00,NubyaTheRealtor,1Cal,JVN-11F,1,3,Hibernal Rift,ambiguous,validation=ambiguous; row 11 team_b overlap=6 map=HibernalRift; row 12 team_a overlap=6 map=HibernalRift | roster=Division G / Benups - NA | stats_match_found
29486722214436,2026-02-22 02:47:00,NubyaTheRealtor,1Cal,ON1-M,1,4,Bearclaw II,ambiguous,validation=ambiguous; row 3 team_a overlap=6 map=BearClaw; row 15 team_b overlap=6 map=BearClaw | roster=Division G / Benups - NA | stats_match_found
29482427247125,2026-02-22 02:59:00,NubyaTheRealtor,1Cal,ON1-M,1,5,Bearclaw II,ambiguous,validation=ambiguous; row 3 team_a overlap=6 map=BearClaw; row 15 team_b overlap=6 map=BearClaw | roster=Division G / Benups - NA | stats_match_found
79961178477538,2026-03-01 02:09:00,NubyaTheRealtor,1Cal,JVN-11F,2,1,Bearclaw II,validated,validation_row=6; matches2_side=team_a; teammate_overlap=6/6; matches2_map=BearClaw | roster=Division G / Benups - NA | stats_match_found
80137272137626,2026-03-01 02:21:00,NubyaTheRealtor,1Cal,OSR-4D,2,2,Polar Highlands,validated,validation_row=19; matches2_side=team_a; teammate_overlap=6/6; matches2_map=PolarHighlands | roster=Division G / Benups - NA | stats_match_found
80592538673759,2026-03-01 02:34:00,NubyaTheRealtor,1Cal,OSR-4D,2,3,Polar Highlands,validated,validation_row=2; matches2_side=team_b; teammate_overlap=6/6; matches2_map=PolarHighlands | roster=Division G / Benups - NA | stats_match_found
80506639327317,2026-03-01 02:46:00,NubyaTheRealtor,1Cal,BSK-6CS,2,4,Hibernal Rift,validated,validation_row=24; matches2_side=team_b; teammate_overlap=6/6; matches2_map=HibernalRift | roster=Division G / Benups - NA | stats_match_found
80940431026597,2026-03-01 03:00:00,NubyaTheRealtor,1Cal,MAL-MX90,2,5,Hibernal Rift,validated,validation_row=25; matches2_side=team_a; teammate_overlap=6/6; matches2_map=HibernalRift | roster=Division G / Benups - NA | stats_match_found
126282401365220,2026-03-08 01:15:00,NubyaTheRealtor,1Cal,JVN-11F,3,1,River City,validated,validation_row=23; matches2_side=team_a; teammate_overlap=6/6; matches2_map=RiverCity | roster=Division G / Benups - NA | stats_match_found
