match_id,match_time,team,winner,name,unit,mechname,health,matchscore,damage,kills,assists,killsmostdamage,componentsdestroyed,teamdamage
29237614109941,2026-02-22 02:24,1,0,Tetatae Exchange Student,BPL,HBK-4J,0,291,531,0,0,0,0,1
29237614109941,2026-02-22 02:24,1,0,HedgehogBC,BPL,MAL-1R,0,168,282,0,0,0,0,0
29237614109941,2026-02-22 02:24,1,0,Canopus Cat,HTAS,HBK-4J,0,160,253,0,0,0,0,1
29237614109941,2026-02-22 02:24,1,0,RalphyNoPants,BPL,MAL-1R,0,146,221,0,0,0,1,2
29237614109941,2026-02-22 02:24,1,0,Roxxi Rose,BPL,HBK-4J,0,68,51,0,0,0,0,1
29237614109941,2026-02-22 02:24,1,0,Tarnc,BPL,LCT-PB,0,27,13,0,0,0,0,0
29237614109941,2026-02-22 02:24,2,1,MasterPig,CDU,JM6-DD,95,505,767,2,3,2,9,1
29237614109941,2026-02-22 02:24,2,1,NubyaTheRealtor,1Cal,BSK-6CS,49,364,595,1,4,3,3,17
29237614109941,2026-02-22 02:24,2,1,NolRinela,CDU,OSR-1P,85,260,287,1,4,0,4,1
29237614109941,2026-02-22 02:24,2,1,Drake67,ODF4,BSK-6CS,37,258,373,1,4,0,1,1
29237614109941,2026-02-22 02:24,2,1,Micheal Hessek,TSLL,FS9-A,90,170,155,0,3,1,0,5
29237614109941,2026-02-22 02:24,2,1,lorddrakewater,CDU,OSR-1P,96,151,84,1,5,0,2,4
29001390907328,2026-02-22 02:12,1,0,HedgehogBC,BPL,CGR-1A1CS,0,77,148,0,0,0,0,0
29001390907328,2026-02-22 02:12,1,0,InteliWasp,BPL,CGR-1A1CS,0,70,156,0,0,0,0,0
29001390907328,2026-02-22 02:12,1,0,weaver,BPL,FLE-17,0,60,99,0,0,0,0,2
29001390907328,2026-02-22 02:12,1,0,RalphyNoPants,BPL,FLE-17,0,53,87,0,0,0,0,1
29001390907328,2026-02-22 02:12,1,0,Tarnc,BPL,FLE-17,0,19,23,0,0,0,0,2
