Division,Team,Pilot
Division A,The Coalition - EU,JP Jango
Division A,The Coalition - EU,GeeRam
Division A,The Coalition - EU,Krasnopesky
Division A,The Coalition - EU,PASHA
Division A,The Coalition - EU,Bassault
Division A,The Coalition - EU,Towarzysz
Division A,The Coalition - EU,dario03
Division A,The Coalition - EU,Navid A1
Division A,The Coalition - EU,Stimraug
Division A,The Coalition - EU,Shineplasma
Division A,The Coalition - EU,GROLSCH
Division A,The Coalition - EU,Jiffy
Division A,The Coalition - EU,CarbonFire
Division A,Clan Crossfire - AP,PeteZonee
Division A,Clan Crossfire - AP,Capn Cat
Division A,Clan Crossfire - AP,Nikoro Doomguard
Division A,Clan Crossfire - AP,Night of Fire
Division A,Clan Crossfire - AP,Lurm God
Division A,Clan Crossfire - AP,Lousyten
Division A,Clan Crossfire - AP,Rathnor1
Division A,Clan Crossfire - AP,Crenuxe
Division A,Clan Crossfire - AP,Wobbly
Division A,Clan Crossfire - AP,Val_Z
Division A,KDCM XXXII: No-Fly List - NA,J a y
Division A,KDCM XXXII: No-Fly List - NA,Tiy0s
Division A,KDCM XXXII: No-Fly List - NA,Bows3r
Division A,KDCM XXXII: No-Fly List - NA,Rowtuh
Division A,KDCM XXXII: No-Fly List - NA,Schonnes
Division A,KDCM XXXII: No-Fly List - NA,Giggitygiggitygoo
Division A,KDCM XXXII: No-Fly List - NA,toribell
Division A,KDCM XXXII: No-Fly List - NA,StoneTempleCopilot
Division A,KDCM XXXII: No-Fly List - NA,Hun Yang
Division A,KDCM XXXII: No-Fly List - NA,Jormangunder
Division A,KDCM XXXII: No-Fly List - NA,Stoolsoftener
Division A,KDCM XXXII: No-Fly List - NA,Zelnayga
Division A,KDCM XXXII: No-Fly List - NA,WhiskeyTangoFox007
Division A,228R Gleapers - NA,redbearin
Division A,228R Gleapers - NA,SirEpicPwner
Division A,228R Gleapers - NA,Fire Ant
Division A,228R Gleapers - NA,GLadDOSauR
Division A,228R Gleapers - NA,Jay Z
Division A,228R Gleapers - NA,a6bc
Division A,228R Gleapers - NA,Yorshka
Division A,228R Gleapers - NA,Windscape
Division A,228R Gleapers - NA,Luminios
Division A,228R Gleapers - NA,PinkyFeldman
Division A,228R Gleapers - NA,White Glint
Division A,228R Gleapers - NA,PrimeMehster
Division A,228R Gleapers - NA,rjsc2006
Division A,228R Gleapers - NA,MechDiddy
Division A,228R Gleapers - NA,Someone Stole My Sweetroll
Division A,228R Gleapers - NA,Perichrone
Division A,228R Gleapers - NA,ArtilleryHamster
