Rank ▾,Percentile,Pilot Name,Games Played,W/L Ratio,Survive Rate,K/D Ratio,Average Score,Adjusted Score,Progress,Light,Medium,Heavy,Assault
17355,12%,SonicLightning8,146,0.84,13%,0.2,125,78.3,5%,0%,0%,45%,42%
16989,14%,Someone Stole My Sweetroll,45,2.67,44%,1.88,356,93,,0%,0%,0%,60%
16596,16%,iTzEhMango,97,1.2,33%,0.68,233,108.8,,0%,0%,0%,100%
16426,16%,Prince Hanse Rau Davion [AW],11995,0.68,14%,0.24,116,116.3,13%,14%,10%,25%,50%
16030,18%,Maelstrom238,10852,0.82,24%,0.4,160,131.6,-28%,14%,19%,24%,38%
15696,20%,Zatoichi 1,2787,0.63,18%,0.32,148,142.5,-2%,12%,6%,30%,48%
15495,21%,p1mps,329,0.68,18%,0.43,164,148.2,12%,3%,50%,27%,9%
15471,21%,InteliWasp [BPL],654,0.81,20%,0.41,154,148.8,-16%,7%,6%,17%,49%
15449,21%,DillyGong,241,1.1,15%,0.61,184,149.7,-25%,14%,18%,23%,23%
14914,24%,Roxxi Rose,564,0.73,21%,0.35,167,162.9,14%,0%,31%,59%,8%
14292,27%,Skippy Dinglechalk,326,1.02,20%,0.47,190,176.7,2%,40%,16%,34%,10%
13725,30%,Fluffycerberus,1750,1.03,34%,0.8,192,187.9,11%,8%,10%,23%,55%
13702,30%,BluMetal,641,0.97,22%,0.54,192,188.3,9%,6%,19%,29%,40%
13661,31%,JBRedPhoenix,3730,0.99,26%,0.6,181,189,-3%,12%,28%,33%,18%
13564,31%,Centurion Petreus [WMK],14220,0.93,24%,0.66,195,190.9,10%,3%,8%,31%,56%
13038,34%,Skeezics,2246,1.15,25%,0.58,200,200,5%,19%,16%,20%,45%
12999,34%,Kitsune Appreciator 69,611,0.83,18%,0.63,206,200.6,-13%,4%,8%,5%,62%
12783,35%,Doc Device,1047,1.08,24%,0.39,192,203.7,24%,20%,69%,6%,2%
12710,35%,robobeaver,556,0.88,24%,0.72,209,204.8,51%,6%,24%,22%,40%
12701,35%,PDDRocco,659,1.08,30%,0.66,193,204.9,17%,70%,28%,0%,2%
12677,36%,Tyrihjelm,513,0.84,34%,0.66,209,205.2,,15%,58%,16%,11%
12510,36%,skiballer [BP],827,0.89,23%,0.82,193,207.2,10%,12%,5%,14%,54%
12116,38%,CrimzonLizard [SRoT],1387,1.32,36%,0.95,207,212.1,5%,1%,4%,47%,37%
11950,39%,CheesecakeLuvr1869,622,0.74,26%,0.68,217,214.4,,6%,6%,69%,13%
11868,40%,Lauski1977,1441,1.04,35%,0.88,212,215.4,27%,23%,39%,17%,22%
11664,41%,deagleyes,9432,1.01,27%,0.72,220,217.6,-2%,24%,22%,22%,30%
11523,41%,Hiroler_77 [2d20],7668,1.27,25%,0.6,211,219.2,19%,15%,21%,23%,38%
11280,43%,XCorsair [2d20],10631,1.04,18%,0.58,213,221.6,26%,20%,13%,33%,32%
10649,46%,HasHman [BP],2061,0.95,23%,0.91,223,227.1,1%,0%,4%,15%,70%
10646,46%,Clobber,6620,0.91,22%,0.77,217,227.2,1%,7%,13%,45%,28%
10202,48%,Rhys Vizsla,356,1.05,26%,1.05,249,230.1,7%,7%,46%,19%,3%
10176,48%,ToneLoc99 [SRoT],8895,1,31%,0.78,222,230.3,-3%,15%,25%,33%,21%
9694,51%,RalphyNoPants [BPL],8958,1.03,23%,0.87,232,233,1%,12%,25%,21%,39%
9617,51%,Cocomax [BP],11359,0.93,28%,1.03,229,233.4,9%,3%,15%,24%,55%
9287,53%,mr bear [256],21031,0.96,18%,0.82,225,235.2,0%,10%,36%,30%,23%
9241,53%,Arcane Wraith [BP],7139,0.97,35%,0.93,238,235.4,1%,10%,18%,16%,54%
9216,53%,Athena Deathrose [SRoT],197,1.46,36%,1.76,322,235.5,,0%,13%,30%,37%
9181,53%,Micheal Hessek [TSLL],8337,0.98,35%,1.01,214,235.7,-4%,9%,15%,51%,16%
9147,53%,YnnacBain [BP],3572,0.97,26%,0.76,232,235.8,-3%,19%,24%,30%,21%
9114,54%,Littlest Hobo,1451,0.95,22%,0.65,220,235.9,-7%,2%,42%,30%,15%
9036,54%,Vampyreq [256],20852,1.02,19%,0.77,238,236.3,-12%,17%,19%,27%,35%
8994,54%,Smagaman [BP],6503,0.87,22%,0.74,237,236.5,-10%,4%,4%,29%,56%
8890,55%,Zerglinator,22191,1.03,17%,0.59,227,236.9,10%,14%,14%,22%,48%
8873,55%,Wicked Steel [FJRD],13950,0.95,30%,0.83,233,237,1%,5%,9%,30%,55%
8843,55%,LomasAtorian [2d20],2796,1.05,32%,0.81,231,237.2,14%,22%,12%,14%,34%
